FILE_VERSION	2.0.0
NO_OF_FRAMES	3302
NO_OF_CAMERAS	0
NO_OF_MARKERS	4
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2026-03-25, 10:44:47.398	1774431887.39863491
DATA_INCLUDED	3D_ACCELERATION
MARKER_NAMES	RWristIn	LWristIn	RAnkleOut	LAnkleOut
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured
Frame	Time	RWristIn X	RWristIn Y	RWristIn Z	LWristIn X	LWristIn Y	LWristIn Z	RAnkleOut X	RAnkleOut Y	RAnkleOut Z	LAnkleOut X	LAnkleOut Y	LAnkleOut Z
106	1.04077	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0004	-0.0047	-0.0042
107	0.05179	-0.0007	0.0056	0.0039	-0.0019	0.0004	-0.0005	-0.0014	0.0016	-0.0063	-0.0085	-0.0103	-0.0014
108	1.06227	0.0000	0.0000	0.0000	0.0016	0.0022	0.0016	0.0000	0.0000	0.0000	0.0003	-0.0083	-0.0041
109	0.07139	-0.0046	-0.0066	0.0063	0.0000	0.0018	0.0027	-0.0029	0.0016	-0.0004	0.0025	-0.0038	0.0017
110	1.08302	0.0000	0.0000	0.0000	-0.0015	0.0058	0.0010	0.0000	0.0000	0.0000	0.0010	-0.0067	-0.0012
111	0.09156	-0.0039	-0.0036	0.0093	-0.0007	0.0039	-0.0029	-0.0014	0.0044	0.0039	-0.0011	-0.0082	-0.0077
112	0.10022	-0.0040	-0.0073	0.0086	-0.0015	-0.0023	-0.0016	-0.0005	0.0086	-0.0041	0.0011	-0.0053	-0.0033
113	0.11122	-0.0084	-0.0089	0.0070	-0.0087	-0.0012	-0.0095	-0.0021	0.0042	-0.0011	0.0010	-0.0087	0.0011
114	0.12122	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
115	0.13171	-0.0112	-0.0039	0.0046	-0.0073	0.0012	-0.0074	-0.0027	0.0107	-0.0018	-0.0063	-0.0108	0.0003
116	0.14141	-0.0003	-0.0064	0.0026	-0.0067	-0.0017	-0.0038	0.0031	0.0061	-0.0017	-0.0011	-0.0101	-0.0033
117	0.15043	-0.0098	-0.0056	0.0030	0.0000	0.0000	0.0000	0.0009	0.0053	-0.0039	0.0040	-0.0058	-0.0032
118	0.16119	-0.0004	-0.0036	0.0066	-0.0017	0.0007	-0.0025	0.0017	0.0075	0.0019	0.0011	-0.0087	-0.0025
119	0.17077	-0.0012	-0.0102	0.0058	-0.0037	0.0029	-0.0070	0.0000	0.0000	0.0000	-0.0020	-0.0129	0.0048
